id,label,language,code_snippet,source_id,cwe,severity,description,fix_hint
SAFE-0279,safe,python,import secrets; token = secrets.token_hex(32),NVD-SAFE-4278,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
API-0266,insecure_api,java,new ObjectInputStream(socket.getInputStream()).readObject();,NVD-CVE-2021-3265,CWE-502,MEDIUM,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0102,sql_injection,java,"String sql = ""SELECT * FROM orders WHERE uid='"" + uid + ""'"";",OWASP-BENCHMARK-011101,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0140,hardcoded_secret,nodejs,"process.env.JWT_SECRET = ""hardcoded_jwt_secret_value"";",OWASP-BENCHMARK-102139,CWE-321,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0059,sql_injection,python,"cursor.execute(""SELECT role FROM staff WHERE username='"" + uname + ""'"")",NVD-CVE-2022-1058,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SAFE-0221,safe,python,"cursor.execute('SELECT * FROM users WHERE id = %s', (user_id,))",OWASP-BENCHMARK-204220,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0024,hardcoded_secret,python,"SECRET_KEY = ""django-insecure-xyz987abc654def321""",OWASP-BENCHMARK-072023,CWE-321,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SAFE-0075,safe,python,"requests.get(url, verify=True, cert=('/path/cert.pem','/path/key.pem'))",OWASP-BENCHMARK-224074,N/A,NONE,Secure coding practice: parameterised query / env-based secret / proper TLS,N/A
SEC-0112,hardcoded_secret,java,"private static final String DB_PASS = ""P@ssw0rd123"";",OWASP-BENCHMARK-062111,CWE-798,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
API-0256,insecure_api,java,new ObjectInputStream(socket.getInputStream()).readObject();,NVD-CVE-2021-3255,CWE-502,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
API-0221,insecure_api,python,"requests.get(url, verify=False)",OWASP-BENCHMARK-113220,CWE-295,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0045,sql_injection,java,"stmt.execute(""UPDATE users SET pass='"" + newPass + ""' WHERE user='"" + user + ""'"")",NVD-CVE-2020-1044,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0050,sql_injection,java,"rs = stmt.executeQuery(""SELECT * FROM items WHERE category="" + cat)",OWASP-BENCHMARK-051049,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
API-0250,insecure_api,java,Runtime.getRuntime().exec(userInput);,NVD-CVE-2023-3249,CWE-78,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SQL-0241,sql_injection,python,"query = ""SELECT * FROM users WHERE id = "" + user_input",OWASP-BENCHMARK-001240,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SQL-0171,sql_injection,python,"query = ""SELECT * FROM users WHERE id = "" + user_input",OWASP-BENCHMARK-001170,CWE-89,HIGH,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
SEC-0224,hardcoded_secret,python,"SECRET_KEY = ""django-insecure-xyz987abc654def321""",OWASP-BENCHMARK-072223,CWE-321,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
API-0166,insecure_api,java,new ObjectInputStream(socket.getInputStream()).readObject();,NVD-CVE-2021-3165,CWE-502,CRITICAL,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
API-0239,insecure_api,python,"subprocess.call(request.form['cmd'], shell=True)",OWASP-BENCHMARK-153238,CWE-78,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SEC-0124,hardcoded_secret,python,"SECRET_KEY = ""django-insecure-xyz987abc654def321""",OWASP-BENCHMARK-072123,CWE-321,HIGH,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SEC-0081,hardcoded_secret,python,"AWS_SECRET = ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""",NVD-CVE-2018-2080,CWE-798,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
API-0010,insecure_api,java,Runtime.getRuntime().exec(userInput);,NVD-CVE-2023-3009,CWE-78,HIGH,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
API-0077,insecure_api,python,eval(request.args.get('expr')),OWASP-BENCHMARK-143076,CWE-95,MEDIUM,"Insecure API usage: disabled TLS validation, unsafe deserialization, or command injection","Enable TLS verification, validate inputs, avoid eval/exec on user data"
SEC-0045,hardcoded_secret,yaml,"password: ""admin123""  # TODO: change before prod",NVD-CVE-2020-2044,CWE-259,CRITICAL,Credential or secret key hardcoded in source code,Store secrets in environment variables or a secrets manager
SQL-0110,sql_injection,java,"rs = stmt.executeQuery(""SELECT * FROM items WHERE category="" + cat)",OWASP-BENCHMARK-051109,CWE-89,CRITICAL,Unsanitised user input concatenated directly into SQL query,Use parameterised queries / prepared statements
